metric,value
total_return,9.573512252202098
annual_return,0.43740943963596
max_drawdown,-0.25090576677230503
sharpe,1.5709436968659125
trades,88.0
win_rate,0.36363636363636365
avg_trade_return,0.17218272384682046
final_equity,10573512.2522021
