symbol,name,entry_signal_date,entry_date,exit_signal_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,holding_bars,exit_reason
3006.TW,晶豪科,2026-06-03,2026-06-04,2026-07-08,2026-07-09,255.79342377331795,219.0,781,-29662.79,-0.14384,24,stop_loss
2408.TW,南亞科,2026-06-30,2026-07-01,2026-07-09,2026-07-10,455.0,435.5,439,-9596.83,-0.042857,6,stop_loss
2344.TW,華邦電,2026-06-30,2026-07-01,2026-07-09,2026-07-10,207.0,176.5,966,-30387.2,-0.147343,6,stop_loss
7769.TW,鴻勁,2026-06-01,2026-06-02,2026-07-09,2026-07-10,7120.0,6660.0,28,-13890.83,-0.064607,26,stop_loss
